Scenario,R_MAE,B_MAE,F_MAE,R_Ov,B_Ov,F_Ov,R_SS,B_SS,F_SS,R_dU,B_dU,F_dU,R_PeakU,B_PeakU,F_PeakU
11. Plant2 斜坡跟踪 (0→1),0.000209423514052667,0.000209419169694483,0.000144846864095742,0.309870889521036,0.309872581690351,0.307405532549287,0,0,0,0.0010058787994575,0.00100587964750595,0.00113655521338942,0.68500564211951,0.685005654718675,0.684999790288167
12. Plant2 输出扰动,0.0124413126836705,0.0124413126836705,0.0057526396088614,0.167297300736013,0.167297300736013,0.172930476566036,0,0,0,0.0231385406235634,0.0231385406235634,0.0376368418030693,1.04964091897188,1.04964091897188,1.75705512036833
13. Plant2 量测噪声,0.0219015606429507,0.0219015606429507,0.0151949241970761,4.00993282994826,4.00993282994826,3.70340629742609,0.00917838475375289,0.00917838475375289,0.00880924718588932,0.259942453725646,0.259942453725646,0.267507200487733,1.17677358195315,1.17677358195315,1.67625972921703
14. Plant2 方波 (1↔2),0.094542208588174,0.108512566316892,0.16069804529557,50.0000593963469,50.000000186346,59.991322376405,0.0492431382907198,0.0463706659212778,0.151433105797921,0.101780861060351,0.0957314250196254,0.398068630743144,3.27215395450072,2.88201874799477,3.18492336159757
15. Plant3 基本阶跃 r=1,0.0182586501152923,0.0182586501152923,0.0237707278010359,7.43080335041668e-06,7.43080335041668e-06,0,6.66133814775094e-16,6.66133814775094e-16,7.7715611723761e-16,0.00338636638156556,0.00338636638156556,0.0125094934267171,1.12165736628899,1.12165736628899,1.12165725890457
16. Plant3 正弦低频 r=1+0.5sin,0.0611641788958225,0.0530593670859704,0.0788218720180014,11.4535790926074,16.3132029758139,12.782259141914,0.0562865077125023,0.0465370106835094,0.0747780717913664,0.0132497917421358,0.0144254279696629,0.0351522686931145,1.56031427492725,1.62005376392135,1.70267612318879
17. Plant3 正弦高频 r=1+0.5sin,0.205337923762201,0.205337923762201,0.109601350632259,38.1052776892866,38.1052776892866,17.4164404940034,0.202240212045532,0.202240212045532,0.10499990794414,0.0611200601785435,0.0611200601785435,0.0668593539012357,1.7094189137106,1.7094189137106,2.17630117512259
18. Plant3 斜坡跟踪 (0→1),0.00300162617595342,0.00300100626530761,0.00499679115367284,2.0599922417027,2.05911838273924,2.98922970669635,2.22044604925031e-16,2.22044604925031e-16,3.07787129116832e-14,0.00117902504773237,0.0011790258011811,0.00125579640756812,1.14246591395934,1.14245859818631,1.15108535280006
19. Plant3 输出扰动,0.0187183939291515,0.0187183939291515,0.0258537018477124,5.89705911143901,5.89705911143901,0,7.56616991282044e-16,7.56616991282044e-16,9.37072641704617e-14,0.0135404423687913,0.0135404423687913,0.0345858746263905,1.2049042697384,1.2049042697384,1.24335494790726
20. Plant3 量测噪声,0.0233287246938441,0.0233287246938441,0.0338961367072448,2.35974141022843,2.35974141022843,4.52907780872258,0.00494871145297533,0.00494871145297533,0.0120517578873047,0.0146201962959981,0.0146201962959981,0.0637249049258422,1.15682605271204,1.15682605271204,1.26773026882098
21. Plant3 方波 (1↔3),0.12853539947284,0.187666673924927,0.711199634894907,66.6688555072871,68.0950702315299,64.3881613884478,0.104510117463058,0.31884843057146,0.747636283449005,0.0851386794132715,0.137144689012603,0.69962668785533,2.31687772360277,3,3
